['1497', 'Sen. Hatch, Orrin G. [R-UT]', 'UT', 'Public Lands and Natural Resources']
['2026', 'Sen. Lugar, Richard G. [R-IN]', 'IN', 'Armed Forces and National Security']
['2017', 'Sen. Campbell, Ben Nighthorse [R-CO]', 'CO', 'Native Americans']
['2237', 'Sen. Rockefeller, John D., IV [D-WV]', 'WV', 'Armed Forces and National Security']
['1240', 'Sen. Bennett, Robert F. [R-UT]', 'UT', 'Public Lands and Natural Resources']
['2712', 'Sen. Hagel, Chuck [R-NE]', 'NE', 'International Affairs']
['2239', 'Sen. Sarbanes, Paul S. [D-MD]', 'MD', 'Housing and Community Development']
['1946', 'Sen. Campbell, Ben Nighthorse [R-CO]', 'CO', 'Public Lands and Natural Resources']
['1907', 'Sen. Smith, Gordon H. [R-OR]', 'OR', 'Public Lands and Natural Resources']
['1226', 'Sen. Campbell, Ben Nighthorse [R-CO]', 'CO', 'Commemorations']
['1010', 'Sen. Helms, Jesse [R-NC]', 'NC', 'Energy']
['3156', 'Sen. Barkley, Dean M. [I-MN]', 'MN', 'Commemorations']
['3044', 'Sen. Durbin, Richard J. [D-IL]', 'IL', 'Crime and Law Enforcement']
['1214', 'Sen. Hollings, Ernest F. [D-SC]', 'SC', 'Transportation and Public Works']
['2064', 'Sen. McCain, John [R-AZ]', 'AZ', 'Environmental Protection']
['2549', 'Sen. Kohl, Herb [D-WI]', 'WI', 'Labor and Employment']
['2951', 'Sen. Rockefeller, John D., IV [D-WV]', 'WV', 'Transportation and Public Works']
['3079', 'Sen. Biden, Joseph R., Jr. [D-DE]', 'DE', 'Immigration']
['2872', 'Sen. Fitzgerald, Peter [R-IL]', 'IL', 'Energy']
['2711', 'Sen. Inouye, Daniel K. [D-HI]', 'HI', 'Native Americans']
['2856', 'Sen. Cochran, Thad [R-MS]', 'MS', 'Agriculture and Food']
['2781', 'Sen. Lugar, Richard G. [R-IN]', 'IN', 'International Affairs']
['2657', 'Sen. Collins, Susan M. [R-ME]', 'ME', 'Government Operations and Politics']
['1301', 'Sen. DeWine, Mike [R-OH]', 'OH', 'Crime and Law Enforcement']
['2845', 'Sen. Collins, Susan M. [R-ME]', 'ME', 'Armed Forces and National Security']
['437', 'Sen. Kyl, Jon [R-AZ]', 'AZ', 'Water Resources Development']
['3014', 'Sen. Snowe, Olympia J. [R-ME]', 'ME', 'Environmental Protection']
['2873', 'Sen. Grassley, Chuck [R-IA]', 'IA', 'Law']
['2486', 'Sen. Specter, Arlen [R-PA]', 'PA', 'Armed Forces and National Security']
['2192', 'Sen. Hatch, Orrin G. [R-UT]', 'UT', 'Commerce']
['1466', 'Sen. Murkowski, Lisa [R-AK]', 'AK', 'Public Lands and Natural Resources']
['2618', 'Sen. Grassley, Chuck [R-IA]', 'IA', 'Health']
['2227', 'Sen. Biden, Joseph R., Jr. [D-DE]', 'DE', 'Crime and Law Enforcement']
['2575', 'Sen. Boxer, Barbara [D-CA]', 'CA', 'Public Lands and Natural Resources']
['2603', 'Sen. Smith, Gordon H. [R-OR]', 'OR', 'Science, Technology, Communications']
['3034', 'Sen. Pryor, Mark L. [D-AR]', 'AR', 'Private Legislation']
['3035', 'Sen. Lautenberg, Frank R. [D-NJ]', 'NJ', 'Environmental Protection']
['3033', 'Sen. Graham, Lindsey [R-SC]', 'SC', 'Private Legislation']
['556', 'Sen. Campbell, Ben Nighthorse [R-CO]', 'CO', 'Native Americans']
['333', 'Sen. Breaux, John B. [D-LA]', 'LA', 'Social Welfare']
['895', 'Sen. Domenici, Pete V. [R-NM]', 'NM', 'Water Resources Development']
['707', 'Sen. Alexander, Lamar [R-TN]', 'TN', 'Health']
['4093', 'Sen. Harkin, Tom [D-IA]', 'IA', 'Agriculture and Food']
['4092', 'Sen. Allard, Wayne [R-CO]', 'CO', 'Public Lands and Natural Resources']
['4091', 'Sen. Grassley, Chuck [R-IA]', 'IA', 'Social Welfare']
['4042', 'Sen. Durbin, Richard J. [D-IL]', 'IL', 'Crime and Law Enforcement']
['3821', 'Sen. Collins, Susan M. [R-ME]', 'ME', 'Immigration']
['362', 'Sen. Inouye, Daniel K. [D-HI]', 'HI', 'Public Lands and Natural Resources']
['3546', 'Sen. Hatch, Orrin G. [R-UT]', 'UT', 'Health']
['3421', 'Sen. Craig, Larry E. [R-ID]', 'ID', 'Armed Forces and National Security']
['2735', 'Sen. Bond, Christopher S. [R-MO]', 'MO', 'Water Resources Development']
['2653', 'Sen. Stevens, Ted [R-AK]', 'AK', 'Science, Technology, Communications']
['2205', 'Sen. Thune, John [R-SD]', 'SD', 'Water Resources Development']
['2150', 'Sen. Wyden, Ron [D-OR]', 'OR', 'Public Lands and Natural Resources']
['214', 'Sen. Bingaman, Jeff [D-NM]', 'NM', 'Water Resources Development']
['2125', 'Sen. Obama, Barack [D-IL]', 'IL', 'International Affairs']
['1608', 'Sen. Smith, Gordon H. [R-OR]', 'OR', 'Commerce']
['1529', 'Sen. Kyl, Jon [R-AZ]', 'AZ', 'Public Lands and Natural Resources']
['1378', 'Sen. Talent, Jim [R-MO]', 'MO', 'Public Lands and Natural Resources']
['1096', 'Sen. Corzine, Jon S. [D-NJ]', 'NJ', 'Public Lands and Natural Resources']
['3712', 'Sen. Kennedy, Edward M. [D-MA]', 'MA', 'Health']
['3663', 'Sen. Rockefeller, John D., IV [D-WV]', 'WV', 'Science, Technology, Communications']
['3741', 'Sen. Thune, John [R-SD]', 'SD', 'Environmental Protection']
['3740', 'Sen. Sanders, Bernard [I-VT]', 'VT', 'Science, Technology, Communications']
['3739', 'Sen. Dorgan, Byron L. [D-ND]', 'ND', 'Finance and Financial Sector']
['3738', 'Sen. Menendez, Robert [D-NJ]', 'NJ', 'Housing and Community Development']
['3736', 'Sen. Menendez, Robert [D-NJ]', 'NJ', 'Transportation and Public Works']
['3737', 'Sen. Harkin, Tom [D-IA]', 'IA', 'Transportation and Public Works']
['3501', 'Sen. Feingold, Russell D. [D-WI]', 'WI', 'Law']
['3735', 'Sen. Landrieu, Mary L. [D-LA]', 'LA', 'Taxation']
['3734', 'Sen. Ensign, John [R-NV]', 'NV', 'Native Americans']
['3733', 'Sen. Specter, Arlen [R-PA]', 'PA', 'Energy']
['3732', 'Sen. Casey, Robert P., Jr. [D-PA]', 'PA', 'Health']
['3731', 'Sen. McCaskill, Claire [D-MO]', 'MO', 'Finance and Financial Sector']
['3297', 'Sen. Reid, Harry [D-NV]', 'NV', 'Economics and Public Finance']
['3730', 'Sen. Kohl, Herb [D-WI]', 'WI', 'Health']
['3729', 'Sen. Dorgan, Byron L. [D-ND]', 'ND', 'Environmental Protection']
['3728', 'Sen. Sanders, Bernard [I-VT]', 'VT', 'Transportation and Public Works']
['3727', 'Sen. Brown, Sherrod [D-OH]', 'OH', 'Commemorations']
['3726', 'Sen. Leahy, Patrick J. [D-VT]', 'VT', 'Crime and Law Enforcement']
['841', 'Sen. Kerry, John F. [D-MA]', 'MA', 'Transportation and Public Works']
['4036', 'Sen. Dodd, Christopher J. [D-CT]', 'CT', 'Finance and Financial Sector']
['3903', 'Sen. Udall, Tom [D-NM]', 'NM', 'Native Americans']
['3874', 'Sen. Boxer, Barbara [D-CA]', 'CA', 'Environmental Protection']
['3592', 'Sen. Chambliss, Saxby [R-GA]', 'GA', 'Government Operations and Politics']
['3481', 'Sen. Cardin, Benjamin L. [D-MD]', 'MD', 'Environmental Protection']
['3447', 'Sen. Akaka, Daniel K. [D-HI]', 'HI', 'Armed Forces and National Security']
